MISSION ELAPSED TIME (min),dist
628.449368,134781.3316
629.449368,134847.541
630.449368,134913.6036
631.449368,134979.5203
632.449368,135045.2917
633.449368,135110.9187
634.449368,135176.4019
635.449368,135241.7422
636.449368,135306.9403
637.449368,135371.997
638.449368,135436.913
639.449368,135501.6891
640.449368,135566.3261
641.449368,135630.8247
642.449368,135695.1857
643.449368,135759.4099
644.449368,135823.4981
645.449368,135887.4509
646.449368,135951.2693
647.449368,136014.954
648.449368,136078.5057
649.449368,136141.9252
650.449368,136205.2134
651.449368,136268.3709
652.449368,136331.3987
653.449368,136394.2974
654.449368,136457.0678
655.449368,136519.7109
656.449368,136582.2272
657.449368,136644.6177
658.449368,136706.8832
659.449368,136769.0243
660.449368,136831.042
661.449368,136892.937
662.449368,136954.7101
663.449368,137016.3622
664.449368,137077.894
665.449368,137139.3063
666.449368,137200.6
667.449368,137261.7759
668.449368,137322.8347
669.449368,137383.7773
670.449368,137444.6045
671.449368,137505.3171
672.449368,137565.916
673.449368,137626.402
674.449368,137686.7758
675.449368,137747.0384
676.449368,137807.1904
677.449368,137867.2329
678.449368,137927.1666
679.449368,137986.9923
680.449368,138046.7108
681.449368,138106.3231
682.449368,138165.8299
683.449368,138225.2321
684.449368,138284.5306
685.449368,138343.7261
686.449368,138402.8195
687.449368,138461.8117
688.449368,138520.7036
689.449368,138579.4959
690.449368,138638.1895
691.449368,138696.7854
692.449368,138755.2842
693.449368,138813.687
694.449368,138871.9946
695.449368,1.39E+05
696.449368,138988.3275
697.449368,139046.3545
698.449368,139104.2898
699.449368,139162.1343
700.449368,139219.8887
701.449368,139277.5539
702.449368,139335.131
703.449368,139392.6206
704.449368,139450.0238
705.449368,139507.3413
706.449368,139564.5742
707.449368,139621.7232
708.449368,139678.7893
709.449368,139735.7733
710.449368,139792.6762
711.449368,139849.4988
712.449368,139906.2421
713.449368,139962.9069
714.449368,140019.4941
715.449368,140076.0048
716.449368,140132.4396
717.449368,140188.7997
718.449368,140245.0858
719.449368,140301.2989
720.449368,140357.4399
721.449368,140413.5098
722.449368,140469.5094
723.449368,140525.4396
724.449368,140581.3014
725.449368,140637.0958
726.449368,140692.8235
727.449368,140748.4856
728.449368,140804.083
729.449368,140859.6166
730.449368,140915.0874
731.449368,140970.4963
732.449368,141025.8441
733.449368,141081.1319
734.449368,141136.3607
735.449368,141191.5312
736.449368,141246.6446
737.449368,141301.7016
738.449368,141356.7034
739.449368,141411.6507
740.449368,141466.5447
741.449368,141521.3861
742.449368,141576.176
743.449368,141630.9153
744.449368,141685.6051
745.449368,141740.2461
746.449368,141794.8395
747.449368,141849.3861
748.449368,141903.8869
749.449368,141958.3429
750.449368,142012.7551
751.449368,142067.1244
752.449368,142121.4517
753.449368,142175.7381
754.449368,142229.9845
755.449368,142284.1919
756.449368,142338.3612
757.449368,142392.4935
758.449368,142446.5897
759.449368,142500.6507
760.449368,142554.6776
761.449368,142608.6714
762.449368,142662.6329
763.449368,142716.5633
764.449368,142770.4634
765.449368,142824.3343
766.449368,142878.1769
767.449368,142931.9923
768.449368,142985.7813
769.449368,143039.545
770.449368,143093.2844
771.449368,143147.0005
772.449368,143200.6943
773.449368,143254.3666
774.449368,143308.0186
775.449368,143361.6513
776.449368,143415.2655
777.449368,143468.8623
778.449368,143522.4427
779.449368,143576.0078
780.449368,143629.5583
781.449368,143683.0955
782.449368,143736.6202
783.449368,143790.1335
784.449368,143843.6364
785.449368,143897.1298
786.449368,143950.6147
787.449368,144004.0922
788.449368,144057.5632
789.449368,144111.0287
790.449368,144164.4898
791.449368,144217.9474
792.449368,144271.676
793.449368,144325.9511
794.449368,144371.6005
795.282716,144426.6086
796.282716,144481.6181
797.282716,144536.6298
798.282716,144591.6448
799.282716,144646.664
800.282716,144701.6883
801.282716,144756.7188
802.282716,144811.7563
803.282716,144866.8018
804.282716,144921.8564
805.282716,144976.9209
806.282716,145031.9962
807.282716,145087.0835
808.282716,145142.1835
809.282716,145197.2974
810.282716,145252.4259
811.282716,145307.5701
812.282716,145362.731
813.282716,145417.9095
814.282716,145473.1065
815.282716,145528.3229
816.282716,145583.5599
817.282716,145638.8182
818.282716,145694.0988
819.282716,145749.4028
820.282716,145804.731
821.282716,145860.0844
822.282716,145915.464
823.282716,145970.8706
824.282716,146026.3053
825.282716,146081.7689
826.282716,146137.2625
827.282716,146192.787
828.282716,146248.3433
829.282716,146303.9323
830.282716,146359.555
831.282716,146415.2124
832.282716,146470.9053
833.282716,146526.6347
834.282716,146582.4016
835.282716,146638.2069
836.282716,146694.0515
837.282716,146749.9364
838.282716,146805.8624
839.282716,146861.8306
840.282716,146917.8418
841.282716,146973.897
842.282716,147029.9971
843.282716,147086.143
844.282716,147142.3357
845.282716,147198.5761
846.282716,147254.8651
847.282716,147311.2036
848.282716,147367.5926
849.282716,147424.0329
850.282716,147480.5255
851.282716,147537.0713
852.282716,147593.6712
853.282716,147650.3262
854.282716,147707.0371
855.282716,147763.8048
856.282716,147820.6303
857.282716,147877.5145
858.282716,147934.4582
859.282716,147991.4624
860.282716,148048.528
861.282716,148105.6559
862.282716,148162.8469
863.282716,148220.1021
864.282716,148277.4222
